College,City,Role,Previous CTC,Previous job change,Graduation Marks,EXP (Month),CTC
"USIT, Delhi",Kolkata,Executive,46993.00,3,50,27,69437.63
SRM Main Campus,Asansol,Executive,67559.00,4,45,63,72083.49
NIT Surathkal (Karnataka),Delhi,Executive,55944.00,2,53,49,69163.36
NIT Jamshedpur,Bangalore,Executive,38709.00,3,56,18,72747.12
BITS Pilani (Pilani Campus),Chennai,Executive,61130.00,3,58,35,66726.94
TIET/Thapar University,Durgapur,Executive,54941.00,2,50,24,57067.63
"PES University, Bangalore",Kozhikode,Manager,58639.00,2,46,63,109108.12
NIT Sikkim,Kolhapur,Executive,52098.00,2,84,38,73831.46
IIT Indore,Chennai,Executive,53618.00,2,52,54,79031.20
Jalpaiguri Government Engineering College,Rourkela,Executive,57261.00,4,62,46,77631.46
"Heritage Institute of Technology, Kolkata",Kolkata,Executive,53158.00,4,66,41,78524.15
Manipal Main Campus,Delhi,Executive,53511.00,1,84,58,70856.24
VIT Vellore,Ahmedabad,Executive,58408.00,2,56,18,61042.81
IGDTUW,Chennai,Executive,46722.00,2,49,22,66407.61
BITS Pilani (Hyderabad Campus),Delhi,Executive,49331.00,1,78,44,71632.13
"MAIT, Delhi",Bangalore,Executive,53717.00,2,41,44,78002.78
NIT Sikkim,Chennai,Manager,70258.00,4,38,36,115126.75
BIT Mesra,Kozhikode,Executive,53186.00,3,62,26,58559.16
NIT Rourkela,Delhi,Executive,59273.00,1,80,30,62275.25
DAIICT,Ahmedabad,Executive,59466.00,3,45,41,73749.44
Amity University,Pune,Executive,55639.00,1,40,29,55927.32
Manipal Main Campus,Delhi,Executive,61138.00,3,68,61,67174.81
"MSIT, Delhi",Hyderabad,Executive,47831.00,4,74,36,70249.63
NIT Patna,Rourkela,Executive,51919.00,4,82,25,69896.22
NIT Kurukshetra,Ajmer,Executive,49310.00,1,47,56,68123.80
NSUT Delhi (NSIT),Kolkata,Executive,61973.00,1,51,18,56131.76
"Jaypee, Noida",Pune,Executive,52475.00,3,39,19,63426.48
NIT Jamshedpur,Surat,Executive,62262.00,3,43,39,68762.60
MNNIT Allahabad,Durgapur,Executive,49159.00,3,57,45,65693.05
BITS Pilani (Goa Campus),Kozhikode,Executive,44451.00,1,65,51,59721.74
BITS Pilani (Pilani Campus),Surat,Executive,64873.00,3,48,64,85224.19
IIEST/BESU Shibpur,Bangalore,Executive,55261.00,1,36,19,53356.72
TIET/Thapar University,Rourkela,Executive,53405.00,1,46,48,67405.54
"Dayanand College of Engineering, Bangalore",Rajpur Sonarpur,Executive,48982.00,3,77,60,73639.06
IIT Roorkee,Bangalore,Manager,60286.00,1,73,27,91956.84
TIET/Thapar University,Rajpur Sonarpur,Executive,44712.00,2,49,46,76451.55
NIT Raipur,Bangalore,Executive,49882.00,2,57,28,64100.13
VIT Vellore,Pune,Executive,46791.00,3,59,59,78379.79
Punjab Engineering College,Kolhapur,Manager,52585.00,3,78,35,77592.94
TIET/Thapar University,Kolhapur,Executive,59130.00,1,79,63,70314.89
"Techno India, Kolkata",Pune,Executive,63061.00,4,36,40,72339.71
BITS Pilani (Hyderabad Campus),Durgapur,Executive,55293.00,4,39,20,75774.95
DTU,Pune,Executive,54222.00,4,40,40,71232.98
BITS Pilani (Pilani Campus),Bangalore,Executive,48720.00,3,66,24,61022.27
"Amrita University, Coimbatore",Rourkela,Executive,49971.00,2,77,34,69437.41
IIT Indore,Ajmer,Executive,58774.00,4,70,45,73028.67
NSUT Delhi (NSIT),Kolkata,Executive,59781.00,1,46,41,76811.45
IIT Roorkee,Hyderabad,Executive,54690.00,3,71,53,65923.72
IIT Guwahati,Surat,Executive,43494.00,1,60,27,68676.93
Jadavpur University,Rajpur Sonarpur,Executive,54356.00,1,69,26,67766.33
NIT Warangal,Rourkela,Executive,44261.00,4,64,24,75535.50
"MSIT, Delhi",Kolhapur,Executive,61570.00,3,74,34,75762.91
"KIIT, Bhubaneswar",Rajpur Sonarpur,Executive,59600.00,3,52,53,75588.76
NIT Warangal,Hyderabad,Executive,52971.00,2,56,32,70086.07
IIT Roorkee,Delhi,Manager,57963.00,2,60,19,96125.18
R.V. College of Engineering,Kozhikode,Manager,44781.00,2,75,42,80753.62
"MSIT, Delhi",Asansol,Executive,62903.00,4,82,55,71048.24
IIIT Hyderabad,Surat,Executive,58282.00,4,78,28,71454.90
IIIT Hyderabad,Chennai,Executive,66411.00,1,47,58,87222.87
IIT Kanpur,Surat,Executive,58109.00,4,44,41,75683.99
IIT Delhi,Surat,Executive,51572.00,4,35,47,78834.20
LNMIIT,Rourkela,Executive,63031.00,1,48,42,72943.91
"MSIT, Delhi",Ajmer,Executive,54081.00,1,42,59,66774.11
IIT ISM Dhanbad,Kolkata,Executive,45676.00,4,81,19,58845.40
IIT Ropar,Delhi,Executive,52116.00,2,60,59,75689.83
"PES University, Bangalore",Rourkela,Executive,46127.00,1,56,39,68623.41
"Cummins College of Engineering for Women, Pune",Delhi,Manager,48343.00,3,78,40,68392.67
IIIT Allahabad,Ahmedabad,Executive,56666.00,3,47,18,53730.63
DTU,Bangalore,Executive,67170.00,4,55,31,69913.11
NSUT Delhi (NSIT),Hyderabad,Manager,51096.00,3,70,19,80820.27
IIT Ropar,Hyderabad,Executive,64120.00,2,35,44,71001.53
IIT Ropar,Chennai,Manager,59001.00,2,81,23,89974.05
"Techno India, Kolkata",Durgapur,Executive,45187.00,3,74,33,71161.34
BITS Pilani (Hyderabad Campus),Hyderabad,Executive,53027.00,4,69,55,106846.34
TIET/Thapar University,Rajpur Sonarpur,Executive,55858.00,4,47,40,77673.29
Jadavpur University,Rourkela,Manager,49074.00,3,58,63,84287.39
"Cummins College of Engineering for Women, Pune",Rourkela,Executive,54121.00,3,51,54,84320.29
BITS Pilani (Goa Campus),Surat,Executive,61285.00,3,44,60,77283.59
NIT Warangal,Rajpur Sonarpur,Executive,63140.00,1,44,24,68416.86
NIT Tiruchipally (Trichy),Ahmedabad,Executive,44907.00,1,60,19,70186.19
IIIT Hyderabad,Durgapur,Executive,52054.00,2,67,29,73394.09
R.V. College of Engineering,Delhi,Manager,44353.00,3,75,18,70056.31
